composition,band_gap,minimum AtomicVolume,mean AtomicVolume,avg_dev AtomicVolume,range AtomicVolume,mean AtomicWeight,avg_dev AtomicWeight,range AtomicWeight,minimum MolarVolume,mean MolarVolume,avg_dev MolarVolume,mean SpaceGroupNumber,avg_dev SpaceGroupNumber,mean CovalentRadius,maximum Density,mean Density,avg_dev Density,range Density,avg_dev Column,maximum Electronegativity,mean Electronegativity,avg_dev Electronegativity,mean ElectronAffinity,avg_dev ElectronAffinity,range ElectronAffinity,avg_dev FirstIonizationEnergy,mean BoilingT,mean MeltingT,avg_dev MeltingT,range MeltingT,minimum ThermalConductivity,avg_dev ThermalConductivity,range ThermalConductivity,mode ThermalConductivity,minimum LogThermalConductivity,mean LogThermalConductivity,avg_dev LogThermalConductivity,range LogThermalConductivity,mode LogThermalConductivity,mean HeatVaporization,range HeatVaporization,mode HeatVaporization,mean HeatFusion,range HeatFusion,mean FusionEnthalpy,avg_dev FusionEnthalpy,mean GSbandgap,minimum GSenergy_pa,mean GSenergy_pa,avg_dev GSenergy_pa,range GSenergy_pa,avg_dev GSestBCClatcnt,mean GSestFCClatcnt,maximum NUnfilled,mean NUnfilled,avg_dev NUnfilled,avg_dev NValence,mean NdValence,avg_dev NdValence,maximum NfUnfilled,mean NpUnfilled,avg_dev NpUnfilled,avg_dev NpValence,maximum ZungerPP-r_sigma,mean ZungerPP-r_sigma
Ba4Ga4Ge1Se12,2.18,19.6105134830824,32.73741964397144,12.278804583132864,45.3587681916128,88.01714285714286,18.7847074829932,67.604,11.8,19.54809523809524,7.090249433106573,74.52380952380952,73.17913832199545,138.47619047619048,5904.0,4800.333333333333,491.55555555555577,2394.0,4.063492063492064,2.55,2.067142857142857,0.5518367346938774,125.25714285714288,79.70612244897958,181.05,1.9062976870748296,1574.7142857142858,588.1447619047619,216.25487528344672,908.49,0.52,13.24190476190476,59.48,0.52,-0.283996656,0.44004159,0.8274722811428573,2.062147906,-0.283996656,106.1904761904762,308.0,26.0,8.001904761904761,31.355,8.001904761904761,2.756009070294784,0.4748095238095238,-4.616039545,-3.1432691769047625,0.5145755395464852,2.692517285,0.4308323852698408,4.911127272904762,5.0,2.2857142857142856,1.1972789115646258,4.063492063492064,8.095238095238095,3.0839002267573696,0.0,2.2857142857142856,1.1972789115646258,1.6326530612244898,3.402,1.7794285714285711
Hg1Se1,0.07,24.6117420696302,25.9102733477289,1.2985312780987002,2.5970625561974003,139.775,60.815000000000005,121.63,14.09,15.255,1.165000000000001,90.0,76.0,126.0,13534.0,9176.5,4357.5,8715.0,2.0,2.55,2.275,0.2749999999999999,97.5,97.5,195.0,0.3425549999999999,793.865,364.16,129.84,259.68,0.52,3.890000000000001,7.780000000000001,0.52,-0.283996656,0.317540718,0.6015373740000001,1.203074748,-0.283996656,42.6,33.2,26.0,4.4925,4.3950000000000005,4.4925,2.1975,0.3995,-3.47079191,-1.860448736207,1.6103431737929998,3.220686347586,0.0165069750000002,4.677043684,2.0,1.0,1.0,5.0,10.0,0.0,0.0,1.0,1.0,2.0,2.41,1.8475
Ag1In5Te8,0.47,17.0756479498908,29.938746323729426,4.59193417007746,16.881040772656398,121.62558571428572,6.827902040816324,19.7318,10.27,18.053571428571427,2.7502040816326536,152.57142857142858,10.346938775510214,139.92857142857142,10490.0,6925.714285714285,783.6734693877551,4250.0,1.6326530612244898,2.1,1.9735714285714288,0.1444897959183673,127.9785714285714,71.11020408163266,161.29999999999998,1.4326179591836736,1732.0,654.64,160.63571428571427,805.1800000000001,3.0,67.10204081632652,427.0,3.0,0.477121255,1.1442505540000003,0.7624334845714287,2.156347201,0.477121255,127.78571428571428,207.0,48.0,11.91392857142857,14.089,11.91392857142857,6.246938775510204,0.2651428571428572,-3.14130250667,-2.944987386668572,0.2243601371444899,0.4745005466700003,0.2643902923265305,4.889291872642858,5.0,3.0,1.4285714285714286,1.6326530612244898,10.0,0.0,0.0,2.9285714285714284,1.479591836734694,1.5510204081632657,2.375,1.8560714285714288
Rb7Th2P6Se21,2.07,27.2088046258276,40.41354603851658,20.310657813623,65.4321472191481,80.73203588888889,18.653466500000004,201.064298,16.42,24.357222222222223,12.21219135802469,65.52777777777777,81.29166666666667,142.05555555555554,11724.0,4064.1388888888887,1731.7669753086418,10192.0,5.375,2.55,2.0841666666666665,0.57875,117.5271735547118,59.51599522153965,142.87887423608876,1.9744505833333337,1120.888888888889,514.195,167.64500000000004,1710.54,0.236,21.24533333333333,57.764,0.52,-0.627087997,0.1689534922222221,0.7937890026666666,2.390515991,-0.283996656,60.67777777777778,517.6,26.0,8.185555555555556,16.349999999999998,8.185555555555556,4.07641975308642,0.7369166666666667,-7.41254306,-3.523836546111111,1.0576360003395064,6.449208035,0.6101314546574071,5.156069814861111,8.0,2.305555555555556,0.8641975308641974,6.319444444444445,5.944444444444445,4.731481481481481,0.0,1.6666666666666667,0.8333333333333334,1.4166666666666667,4.98,2.0301388888888887
Tl1S1,1.37,27.1665457946712,27.903711177789702,0.7371653831184997,1.474330766236999,118.22415,86.15915,172.3183,15.53,16.375,0.8449999999999998,132.0,62.0,125.0,11850.0,6905.0,4945.0,9890.0,1.5,2.58,2.1,0.48,109.6,90.4,180.8,2.1259080000000004,1231.86,482.68,94.32,188.64,0.205,22.8975,45.795,0.205,-0.688246139,0.4872558465,1.1755019855,2.351003971,-0.688246139,87.4,155.2,9.8,2.9315,2.4210000000000003,2.9315,1.2105,1.101,-4.09721671875,-3.1849471243750003,0.912269594375,1.82453918875,0.0266370915,4.7233452965,5.0,3.5,1.5,10.5,5.0,5.0,0.0,3.5,1.5,1.5,2.235,1.6675
Cd1S1,2.5,21.580025455795,24.373285625233105,2.793260169438101,5.586520338876202,72.238,40.173,80.346,13.0,14.265,1.2649999999999997,132.0,62.0,124.5,8650.0,5305.0,3345.0,6690.0,2.0,2.58,2.135,0.445,100.0,100.0,200.0,0.6830950000000007,878.86,491.29,102.93,205.86,0.205,48.3975,96.795,0.205,-0.688246139,0.6492627975,1.3375089365,2.675017873,-0.688246139,54.9,90.2,9.8,3.9655,4.489,3.9655,2.2445,1.101,-4.09721671875,-2.454695471875,1.642521246875,3.28504249375,0.165681492,4.481039065,2.0,1.0,1.0,3.0,5.0,5.0,0.0,1.0,1.0,2.0,2.215,1.6575
In2Ge1Te3,0.68,22.6609763823586,29.4493931451296,4.507295577417599,11.295712340188595,114.17933333333332,13.846444444444442,54.96,13.63,17.755,2.7050000000000005,159.83333333333334,21.72222222222223,136.33333333333334,7310.0,6443.833333333333,577.4444444444443,1987.0,1.3333333333333333,2.1,1.9783333333333333,0.1322222222222221,124.56666666666663,65.63333333333334,161.29999999999998,1.3091988888888888,1927.6666666666667,706.48,184.48666666666668,781.6500000000001,3.0,35.833333333333336,79.0,3.0,0.477121255,1.1728571198333333,0.6957358648333334,1.436692597,0.477121255,156.33333333333334,286.0,48.0,15.943666666666669,33.649,15.943666666666669,8.43511111111111,0.2958333333333333,-4.616039545,-3.228925164168333,0.4623714602772218,1.949237585,0.2429970273333332,4.874606835833334,5.0,3.333333333333333,1.3333333333333333,1.3333333333333333,10.0,0.0,0.0,3.333333333333333,1.3333333333333333,1.3333333333333333,2.05,1.778333333333333
Bi1Se1Br1,1.5,27.2088046258276,35.073363010757504,5.243038923286599,15.3190206984109,122.6148,57.57706666666667,130.0204,16.42,19.17,1.833333333333332,30.0,22.666666666666668,129.33333333333334,9780.0,5906.333333333333,2582.4444444444443,6660.0,0.6666666666666666,2.96,2.51,0.3266666666666665,203.6,80.66666666666667,233.40000000000003,1.5544866666666666,1042.3333333333333,434.73333333333335,112.6222222222222,278.6,0.12,3.4133333333333336,7.88,0.12,-0.920818754,-0.100575141,0.6691100853333333,1.823908741,-0.920818754,66.93333333333334,145.2,14.8,7.693666666666666,5.821,7.693666666666666,2.2748888888888885,0.7520000000000001,-3.9736944,-3.009170549166667,0.9507634744444444,2.3906690625,0.1053236419999999,4.896890379333334,3.0,2.0,0.6666666666666666,5.555555555555556,10.0,0.0,0.0,2.0,0.6666666666666666,0.6666666666666666,1.997,1.494
Ga1As0.4P0.6,2.1,19.6105134830824,22.61428643396916,3.359901229603224,8.6036083335588,59.1379486,16.89851196,43.947838,11.8,13.596,2.0544,65.8,40.08,116.9,5904.0,4644.299999999999,1692.7800000000002,4081.0,1.0,2.19,1.998,0.188,51.65,22.75,49.1,2.1040765,1581.95,464.645,250.14200000000005,787.0899999999999,0.236,14.60088,49.764,29.0,-0.627087997,0.8828666007000001,0.90597275862,2.326058001,1.462397998,138.2,243.6,256.0,13.2425,18.855,13.2425,7.657500000000001,0.4875,-5.4005090425,-4.0564581870000005,1.0442028845000002,2.388253740000001,0.0993393860000001,4.3503672246,5.0,4.0,1.0,3.6,7.0,4.2,0.0,4.0,1.0,1.0,1.695,1.5025
K2Au1P1S4,2.63,16.9470636164805,38.19038724724529,18.82873871791631,58.9008010665974,54.299616375,35.66673815625,165.992807,10.21,22.65375,11.643125,120.625,80.28125,133.625,19300.0,3834.375,3866.40625,18444.0,5.375,2.58,2.08625,0.6331250000000002,148.95,69.5125,174.4,2.1942675125,1077.1725,485.14125,213.0471875,1020.03,0.205,81.15100000000001,319.795,0.205,-0.688246139,0.390634678125,1.33331148590625,3.193396117,-0.688246139,66.925,320.2,9.8,5.3305,16.819,5.3305,5.10725,1.304125,-5.4005090425,-3.39926849427,1.1982583615375004,4.302969329170001,0.6211896459999999,5.072217353999999,3.0,1.75,0.5625,4.5,1.25,2.1875,0.0,1.375,1.03125,1.78125,3.69,1.96
Pt1As2,0.55,15.3604635067342,19.602798327030065,2.828223213530577,6.363502230443798,114.97573333333332,53.40551111111111,120.1624,9.09,11.663333333333332,1.7155555555555555,185.66666666666663,26.22222222222221,124.66666666666669,21090.0,10848.0,6828.0,15363.0,2.222222222222222,2.28,2.2133333333333334,0.0444444444444442,120.43333333333334,56.57777777777778,127.3,0.3688000000000002,1957.3333333333333,1407.1333333333332,422.8444444444444,951.4,50.0,9.77777777777778,22.0,50.0,1.698970004,1.7517575013333333,0.0703833297777777,0.1583624919999999,1.698970004,184.9333333333333,457.6,32.4,23.685,2.265000000000001,23.685,1.0066666666666666,0.0,-6.02850968,-5.11009597,0.6122758066666666,1.377620565,0.1915873382222224,4.278684190666667,3.0,2.6666666666666665,0.4444444444444445,4.0,9.666666666666666,0.4444444444444446,0.0,2.0,1.3333333333333333,1.3333333333333333,2.7,1.8433333333333333
Gd1.05Sc0.95Se3,1.2,25.0093109185916,28.0174939559284,2.1135367503089326,8.0404133952152,88.94012328,28.6901482224,112.294088,15.0,16.881,1.2679799999999988,86.0,86.4,145.45999999999998,7901.0,5117.76,1168.9608000000003,4916.0,6.24,2.55,2.0404,0.6115199999999998,130.939,76.8732,176.9,1.63537788,1904.2,974.12,576.144,1320.0,0.52,6.1704,15.48,0.52,-0.283996656,0.2770772670199999,0.673288707624,1.488116639,-0.283996656,140.07,292.0,26.0,8.7237,7.409999999999999,8.7237,2.44044,0.4794,-6.28551309,-4.2541511082,0.94003103784,2.8147211800000003,0.1055424335784,4.72570020772,16.0,6.2700000000000005,5.1240000000000006,4.476000000000001,6.4,4.32,7.0,1.2,0.9600000000000002,1.9200000000000004,3.91,2.1146000000000003
Cs2Zn1Ge3Se8,2.31,15.2056837348025,38.26936296459622,22.624757955236507,102.2503320731215,84.3422074142857,13.875212710204073,67.52545190000001,9.16,23.092142857142857,13.670816326530607,102.78571428571428,101.46938775510203,137.85714285714286,7140.0,4672.785714285715,798.2244897959181,5261.0,3.6326530612244894,2.55,2.1185714285714283,0.4930612244897959,143.42857142857142,58.93877551020408,195.0,1.5682826020408167,1429.357142857143,634.4328571428572,255.59265306122447,909.8100000000002,0.52,30.11265306122449,119.48,0.52,-0.283996656,0.5895904821428571,0.998385300734694,2.3631779020000003,-0.283996656,104.21428571428572,308.0,26.0,12.542,34.849999999999994,12.542,10.456285714285713,0.5386428571428572,-4.616039545,-3.183121910714285,0.9428732710204084,3.761413085,0.6137291566734692,5.030145847,4.0,2.142857142857143,0.7959183673469388,3.6326530612244894,8.571428571428571,2.4489795918367347,0.0,2.0,0.8571428571428571,1.469387755102041,4.31,1.8185714285714287
K1Ag1As1S2,2.21,17.0756479498908,33.796113991897826,16.820700276472035,58.7722167331871,57.20362,27.353024000000005,75.8032,10.27,20.044,10.3584,152.0,65.6,135.4,10490.0,4198.6,3127.92,9634.0,4.64,2.58,2.018,0.5144000000000002,130.4,55.67999999999999,151.6,2.021324808,1157.888,687.6360000000001,379.86320000000006,898.4000000000001,0.205,125.5672,429.795,0.205,-0.688246139,0.9911892364,1.34354830032,3.321714595,-0.688246139,76.78,245.2,9.8,8.3034,22.719,8.3034,7.65328,0.8808,-4.650889115,-3.341651165166,1.1281476228008,3.55334940167,0.5513655587199999,4.9008244918,3.0,1.8,0.6399999999999999,4.159999999999999,4.0,4.8,0.0,1.4,1.12,1.7600000000000002,3.69,1.936
Pb0.97Se1Sn0.03,0.21,26.9667852620646,28.724494253023327,1.5684208969244904,3.3746377506746974,141.75265,63.4839295,128.24,16.29,17.31045,0.9210635,118.24,104.24,132.895,11340.0,8019.049999999999,3221.3215,6521.0,1.0,2.55,2.43445,0.1155499999999998,116.133,78.86699999999999,159.9,1.1689706500000003,1502.795,545.87205,53.0958115,106.61,0.52,17.72,66.48,0.52,-0.283996656,0.634265795385,0.918262451385,2.1100714590000003,-0.283996656,103.68,264.0,26.0,5.767639999999999,2.3760000000000003,5.767639999999999,0.9638308000000002,0.3995,-3.96104709,-3.5548910222,0.0840991121999999,0.4902551800000001,0.0544230552749998,4.76640992217,4.0,3.0,1.0,6.023700000000001,10.0,0.0,0.0,3.0,1.0,1.0,2.09,1.6843499999999998
Al1Sb1,1.67,16.5944245175099,23.3929239806495,6.798499463139599,13.596998926279198,74.3707693,47.3892307,94.7784614,10.0,14.095,4.095000000000001,195.5,29.5,130.0,6697.0,4698.5,1998.5,3997.0,1.0,2.05,1.83,0.2199999999999998,72.85,30.35,60.7,1.311311,2326.0,918.625,14.845000000000027,29.69000000000005,24.0,105.5,211.0,24.0,1.380211242,1.875639552,0.49542831,0.99085662,1.380211242,180.5,225.0,68.0,15.25,9.079999999999998,15.25,4.539999999999999,0.0,-4.11736234,-3.93139273,0.1859696099999999,0.3719392199999998,0.3876720790000001,4.528042749,5.0,4.0,1.0,6.0,5.0,5.0,0.0,4.0,1.0,1.0,1.765,1.72
Cs1.13Cd1.13Bi2.87Se6,1.0,21.580025455795,37.93361023799645,16.147406701530663,95.875990352129,121.36040778499552,47.53194564366901,130.0204,13.0,22.868993710691825,9.761048896121876,53.58760107816712,64.12974331776142,142.2461814914645,9780.0,6188.7124887690925,2351.8868005253603,7901.0,2.969927403737096,2.55,2.1473315363881404,0.4341438960774768,133.25777178796048,66.56844012079735,195.0,1.5217156411808817,1191.564240790656,497.63641509433967,43.72883012087001,292.63000000000005,0.52,20.57092968907036,96.48,0.52,-0.283996656,0.4394934602192273,0.7800432519883854,2.27076839,-0.283996656,72.026055705301,134.0,26.0,7.3129577717879615,9.016,7.3129577717879615,1.9561601428514923,0.4307277628032346,-3.9736944,-3.064936133158132,0.906248137805458,3.161520175,0.4409618759360074,5.064028817462714,3.0,1.9532794249775385,0.5901907458129805,5.970435165878385,8.984725965858042,1.8243917954033395,0.0,1.8517520215633425,0.7520142980652567,1.1898683289620582,4.31,1.8701383647798744
Pt1Sb2,0.11,15.3604635067342,25.247770131437463,6.591537749802176,14.830959937054898,146.20133333333334,32.58844444444444,73.324,9.09,15.156666666666666,4.044444444444445,185.66666666666663,26.22222222222221,138.0,21090.0,11494.666666666666,6396.888888888888,14393.0,2.222222222222222,2.28,2.1266666666666665,0.1022222222222222,137.23333333333335,45.37777777777779,102.1,0.1557377777777778,2606.0,1282.986666666667,505.60888888888894,1137.62,24.0,21.33333333333333,48.0,24.0,1.380211242,1.53925166,0.2120538906666667,0.477121254,1.380211242,208.66666666666663,422.0,68.0,20.585,2.3850000000000016,20.585,1.0599999999999998,0.0,-6.02850968,-4.754411453333333,0.8493988177777778,1.9111473400000003,0.3879862693333334,4.649854911333333,3.0,2.6666666666666665,0.4444444444444445,4.0,9.666666666666666,0.4444444444444446,0.0,2.0,1.3333333333333333,1.3333333333333333,2.7,2.0766666666666667
Hg0.1Zn0.9Te1,1.83,15.2056837348025,25.05148914541624,8.905199577130965,18.7510049877447,103.2505,34.08345,135.21,9.16,15.0565,5.403500000000001,171.6,20.16,130.5,13534.0,7009.7,769.7,7294.0,2.0,2.1,1.8925,0.21825,95.1,95.1,190.2,0.2444645499999998,1192.9865,684.752,45.043200000000006,488.34,3.0,57.6765,117.0,3.0,0.477121255,1.2201460928,0.77313163788,1.602059991,0.477121255,80.51,71.0,48.0,11.98535,15.085,11.98535,5.39465,0.232,-3.14130250667,-2.1411564932057,1.0001460134643,2.8911969442560004,0.5150150533349998,4.5431911079,2.0,1.0,1.0,2.43,10.0,0.0,0.0,1.0,1.0,2.0,2.41,1.8015
Tl1Bi1Te3,0.5,28.6408765609082,33.19888036215124,1.8232015204972176,6.842582521298201,159.23273999999998,37.959288,81.38040000000001,17.22,19.982,1.104800000000001,132.4,48.16,141.4,11850.0,8070.0,2196.0,5610.0,0.9600000000000002,2.1,1.988,0.1471999999999999,136.2,64.8,171.0,1.1101214400000003,1473.2,657.876,77.7408,178.26,3.0,13.36,43.0,3.0,0.477121255,0.7994423168,0.38678527416,1.185636577,0.477121255,93.8,117.0,48.0,13.4776,13.238,13.4776,4.682879999999999,0.2784,-3.9736944,-3.134055890002,0.3445513440008,1.7010168699999997,0.1018310494400001,5.077653636,5.0,2.8,0.96,5.76,10.0,0.0,0.0,2.8,0.96,0.96,2.235,1.8484000000000005
